OBJECTID,serial_nr_full,ttl_case_acres,commodity_txt,case_disp_txt,disp_dt,GISacres,casetype,casetype_txt,GlobalID,last_edited_date,Shape_Length,Shape_Area
1,CACA   051719,240,GEOTHERMAL,PENDING,2009/11/09 00:00:00+00,249.98008435,323000,GEO NOMINATION,{8C17A98C-9EAB-4645-9200-8758C6ED7EC9},,5739.17236426984,1011633.50981986
2,CACA   055172,5120,GEOTHERMAL,PENDING,2014/04/02 00:00:00+00,5109.61950605,323000,GEO NOMINATION,{7F2126CF-A9DF-42E6-82AD-543FCAE81F17},,19287.2354493634,20677896.5140945
3,CACA   055173,3600.95,GEOTHERMAL,PENDING,2014/04/02 00:00:00+00,4011.78850201,323000,GEO NOMINATION,{6A4CF895-6881-4CB6-9B3F-23F040211E24},,19593.0021478511,16235132.0646688
4,CACA   055233,640,GEOTHERMAL,PENDING,2014/04/23 00:00:00+00,640.74520427,323000,GEO NOMINATION,{53F11207-4D02-45EB-B079-3C5C564EFC55},,6438.59096011136,2593003.84501646
5,CACA   055978,641.26,GEOTHERMAL,PENDING,2015/03/25 00:00:00+00,332.0616747,323000,GEO NOMINATION,{A974203A-FF30-4BB2-AD25-EC688F34256C},,4908.83164093026,1343805.92089851
6,CACA   057435,4440,GEOTHERMAL,PENDING,2017/08/17 00:00:00+00,2878.49584484,323000,GEO NOMINATION,{065759F8-61ED-452B-9E4F-A2E189812A05},,26542.2682581935,11648859.3965442
7,CACA   057436,5120,GEOTHERMAL,PENDING,2017/08/17 00:00:00+00,5121.19239041,323000,GEO NOMINATION,{0663D3D6-3FB5-417F-8E4C-C927C5BD8252},,22548.3784109572,20724730.3154805
8,CACA   057437,4800,GEOTHERMAL,PENDING,2017/08/17 00:00:00+00,3999.91359416,323000,GEO NOMINATION,{30D96C0A-C24A-43CC-91B0-67A992A68716},,23356.7132312781,16187076.017571
9,CACA   057438,5108,GEOTHERMAL,PENDING,2017/08/17 00:00:00+00,4151.49993732,323000,GEO NOMINATION,{B78163C0-6DFD-478F-A4CC-84A8E3891C3B},,29718.3855745586,16800524.183938
10,CACA   057439,4014,GEOTHERMAL,PENDING,2017/08/17 00:00:00+00,3973.26117323,323000,GEO NOMINATION,{EA788D44-CDC0-4A28-A308-E4AEA3069263},,31985.5897144898,16079217.4967615
11,CACA   059458,3360,GEOTHERMAL,PENDING,2021/07/15 00:00:00+00,4490.986258,323000,GEO NOMINATION,{A633CD74-F4A1-4315-BB0D-00E088AF5D94},,45117.3817762601,18174376.5811053
12,CACA   059459,5085.6,GEOTHERMAL,PENDING,,5739.33836277,323000,GEO NOMINATION,{A5005BFB-92A3-4FED-A1E6-67BDC33D8413},,33787.6905398665,23226278.3136894
13,CACA   059460,3240,GEOTHERMAL,PENDING,,3847.58177867,323000,GEO NOMINATION,{2EF94FE2-933C-41CF-997E-018FDD42A50C},,38662.4913219913,15570611.031709
14,CACA   059461,3360,GEOTHERMAL,PENDING,,3836.04202404,323000,GEO NOMINATION,{0DAD8261-8971-4F8F-B6BD-B6B1FB0D9544},,19308.0282970203,15523911.3015815
